Headline,Summary,Image URL,Link
India's Tech Sector Sees Strategic Shift with $1.48 Billion in Q3 Deals,India's technology sector showed resilience in Q3 with deal activity reaching $1.48 billion across 80 transactions focusing on AI and enterprise automation.,https://static.hdfcsky.com/wp-content/uploads/2025/10/Indias-Tech-Sector-Clocks-USD-1.48-Billion-in-Q3-2025-Deals-as-AI-SaaS-and-Automation-Fuel-Value-Led-Growth%E2%80%8B.webp,https://scanx.trade/stock-market-news/orders-deals/india-s-tech-sector-sees-strategic-shift-with-1-48-billion-in-q3-deals/23116522
"India's economy on solid footing as inflation eases, demand stays strong - Economic report","India's economy expected to maintain strong growth in FY26 supported by robust domestic demand, easing inflation, and recent tax cuts.",https://images.financialexpressdigital.com/2025/10/economy.f_c7b74c_20250821141602_20251027084411.jpg?w=440,https://www.financialexpress.com/policy/economy-indias-economy-on-solid-footing-as-inflation-eases-demand-stays-strong-economic-report-4022813/
"India Wins 6 Gold, 6 Silver, 4 Bronze on Day 2 of South Asian Athletics Championship",Indian team clinched 16 medals on Day 2 of the 4th South Asian Athletics Championship 2025 held in Ranchi.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvI5GSvrnqKsUNIs2Fsx1i97mv2SmUvRBDiw&s,https://www.newsonair.gov.in/india-wins-6-gold-6-silver-4-bronze-on-day-2-of-south-asian-athletics-championship/
"India boosts US crude oil imports to 540,000 bpd, highest since 2022","India imported record 540,000 barrels per day of crude oil from US in October amid efforts to diversify from Russian oil.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSF8gQQLa-dyDM0jIrL7b_wLSCeDYUB1KTzvQ&s,https://www.business-standard.com/economy/news/india-boosts-us-crude-oil-imports-to-540-000-bpd-highest-since-2022-125102701245_1.html
India finishes 10th at the World Para Athletics Championships 2025,"India achieved historic performance with 22 medals (6 gold, 9 silver, 7 bronze) finishing 10th at World Para Athletics Championships.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxjRIKLeSgVv-hFzVg9OFpWrG97OXerp3bvA&s,https://www.instagram.com/p/DPbv6iBkv_5/
Google to invest $15bn to build AI data hub in India,"Google's parent Alphabet will invest $15 billion over five years to build AI data hub in Andhra Pradesh, India's largest AI hub outside US.",https://ichef.bbci.co.uk/news/1536/cpsprodpb/f786/live/f1b9ec10-a8c6-11f0-b0df-05ea5e3542cc.jpg.webp,https://www.bbc.com/news/articles/cx27yze8p0jo
Indian economy predicted to grow at a faster-than-expected 6.7% this fiscal year: Reuters poll,Indian economy projected to grow 6.7% in current fiscal year following surprise 7.8% expansion in April-June quarter and GST tax reductions.,https://www.reuters.com/resizer/v2/7LWDYXGUTZLKLP2VOORLSBRLAI.jpg?auth=5852800626b2882a2d8da6512f776da8b0c2b800d40a720da2e5ba4f616cd908&width=1200&quality=80,https://www.reuters.com/world/india/indian-economy-predicted-grow-faster-than-expected-67-this-fiscal-year-2025-10-27/
India's Abhishek Pal Clinches 10000m Victory at SAAF Athletics Championships 2025,Abhishek Pal dominated the 10000m race representing India at the SAAF Athletics Championships 2025 showcasing impressive athletic skills.,"https://static.toiimg.com/thumb/msid-101706094,width-1070,height-580,imgsize-25464,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",https://www.instagram.com/reel/DQRsqNVAvUp/
India's economy poised for strong FY26 growth amid policy reforms and stable inflation: Finance Ministry,Finance Ministry reports India's economy gathering pace with growth momentum sustained by reforms and inflation revised down to 2.6% for FY26.,https://www.tribuneindia.com/sortd-service/imaginary/v22-01/jpg/large/high?url=dGhldHJpYnVuZS1zb3J0ZC1wcm8tcHJvZC1zb3J0ZC9tZWRpYTVkZDZiNDUwLWIzMjEtMTFmMC1iMDY0LWVkNWUyYTYzNDljNy5qcGc=,https://www.tribuneindia.com/news/business/indias-economy-poised-for-strong-fy26-growth-amid-policy-reforms-and-stable-inflation-finance-ministry/
India Creates History with Rugby Team's Impressive Performance,Indian Rugby team made history by qualifying for Division 1 at the Asia Rugby Emirates Sevens Trophy.,https://www.rugbypremierleague.in/static-assets/waf-images/6f/70/74/16-9/bvPImRov76.png?v=1.28&w=800,https://www.instagram.com/reel/DQTxz8ngseX/
Global tech reviewing AI-labelling mandate as India curbs deepfakes,"Major tech players like Microsoft, OpenAI, and Google scrutinizing India's policy requiring clear labeling of AI-generated social media posts.","https://m.economictimes.com/thumb/height-450,width-600,imgsize-120150,msid-124834036/global-tech-reviewing-ai-labelling-mandate-as-india-curbs-deepfakes.jpg",https://economictimes.com/tech/technology/global-tech-reviewing-ai-labelling-mandate-as-india-curbs-deepfakes/articleshow/124833971.cms
"India's growth outlook strong, trade diversifies amid US tariff tensions, government says","India's growth outlook remains strong for current fiscal year supported by domestic demand, favorable monsoon, and consumption tax cuts.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnd_zYIf5nla4skXhgPho6DT59c-_44VqnIQ&s,https://www.reuters.com/world/india/indias-growth-outlook-fy26-strong-government-report-says-2025-10-27/
Mid-October 2025 AI & Tech News: Key Global Updates,"AI innovation continues reshaping industries globally with OpenAI launches, Intel chip news, AMD deals, and India's AI Impact Summit 2026 announced.",https://tsttechnology.io/_next/image?url=https%3A%2F%2Fcdn.tsttechnology.in%2F1692359926_1_fadbfab4c6.webp&w=3840&q=75,https://tsttechnology.io/blog/mid-october-ai-news-2025
